m	n_BS
14	196
[n1, n2]	phi	psi	eta
5	10	0.00359	5.43248	0.35607
1	13	2.03673	6.13368	0.12724
2	5	0.12238	5.09423	0.03043
6	11	5.8377	5.5381	0.49617
4	7	5.52117	0.15574	0.00014
6	10	5.22551	4.62797	0.44547
12	13	1.93217	2.08718	0.4454
0	8	0.36395	5.84849	0.31722
1	7	5.5167	5.04059	0.44425
4	5	5.94986	5.42907	0.34882
1	5	0.53818	5.09409	0.07882
6	12	3.05357	1.67639	0.29308
8	13	0.43488	4.94722	0.03199
0	13	4.779	0.67918	0.23032
10	13	4.81188	5.47999	0.19311
7	8	0.80671	5.3947	0.4308
0	6	2.98629	1.39759	0.48994
3	8	3.45452	5.13076	0.31624
5	9	1.6654	2.89217	0.405
7	12	5.48166	1.91757	0.3343
7	10	2.65865	4.9973	0.25153
0	12	1.33077	1.43002	0.47189
3	4	3.3885	0.14869	0.35585
2	8	4.58629	1.21347	0.17605
4	7	1.26387	2.06253	0.26884
7	11	1.95857	5.43089	0.0553
0	1	6.25271	6.07514	0.16656
9	10	4.0833	1.75379	0.04029
3	12	2.75266	4.03055	0.41526
2	11	3.25202	2.51125	0.42438
4	8	0.76029	6.16475	0.06551
0	8	1.41182	3.36914	0.47388
1	6	2.12425	5.9014	0.3902
3	13	3.69645	0.72471	0.11824
1	7	1.44585	6.09721	0.413
1	10	1.38367	1.12197	0.46058
2	13	0.44606	6.04778	0.15735
7	11	3.96534	1.66797	0.32772
4	8	1.43848	0.68111	0.22658
4	11	5.68892	2.73044	0.47533
6	13	5.40125	4.57758	0.1856
3	7	0.44521	1.97089	0.02537
2	8	1.49543	3.80892	0.31551
3	6	4.20331	3.21337	0.44349
8	9	1.34609	2.42025	0.4874
2	11	0.83134	3.62281	0.45923
1	13	5.87801	1.60047	0.49991
4	12	3.58797	4.45343	0.43908
12	13	2.96988	0.01063	0.22759
5	6	4.92991	5.81556	0.26481
8	12	5.07365	3.38319	0.16276
4	13	1.19638	4.52031	0.06144
0	4	0.60903	4.66181	0.45532
4	11	2.70837	4.21368	0.25627
9	13	2.66142	2.28847	0.39765
9	10	2.9344	0.43966	0.48977
7	13	4.58092	4.17353	0.37109
2	7	4.23087	2.07471	0.05413
7	8	6.18369	1.97239	0.37514
8	12	0.61838	5.32824	0.28338
6	8	2.52974	4.52235	0.49641
5	7	2.1319	1.88698	0.49933
3	13	5.41405	1.94329	0.48979
3	11	1.56235	2.56601	0.37399
6	9	1.19512	2.52836	0.37338
3	13	2.81872	1.85766	0.22459
6	12	2.65076	0.79977	0.25353
0	5	1.75015	2.64174	0.13445
7	11	1.56958	5.90848	0.18168
11	12	5.80105	4.25571	0.34667
10	12	2.78427	5.67249	0.49693
10	13	5.41202	3.86739	0.47026
2	7	3.4578	1.89092	0.4643
0	2	0.31786	3.44279	0.04502
8	9	6.27868	0.00255	0.22566
5	13	5.25292	1.80273	0.27035
1	13	6.08838	2.70107	0.30908
7	13	5.82054	3.64415	0.29664
1	8	5.33251	4.11364	0.43841
